station,line,zone,x,y
Massy,B,4,48.7250359832,2.25583591914
Massy,outside,4,48.7250359832,2.25583591914
CitéU,B,1,48.8206246444,2.33808492704
CitéU,T3,1,48.8206246444,2.33808492704
CitéU,outside,1,48.8206246444,2.33808492704
Denfert,6,1,48.833998196,2.33323849783
Denfert,B,1,48.833998196,2.33323849783
Denfert,outside,1,48.833998196,2.33323849783
Gentilly,B,2,48.8162565591,2.34107895016
Gentilly,outside,2,48.8162565591,2.34107895016
Corvisart,6,1,48.8296657606,2.34787284141
Corvisart,outside,1,48.8296657606,2.34787284141
Chatelet,B,1,48.8575359942,2.34883197251
Chatelet,1,1,48.8575359942,2.34883197251
Chatelet,D,1,48.8575359942,2.34883197251
Chatelet,outside,1,48.8575359942,2.34883197251
ReuillyDiderot,1,1,48.8472174603,2.38720417388
ReuillyDiderot,8,1,48.8472174603,2.38720417388
ReuillyDiderot,outside,1,48.8472174603,2.38720417388
Bastille,1,1,48.8523913608,2.36954531695
Bastille,8,1,48.8523913608,2.36954531695
Bastille,outside,1,48.8523913608,2.36954531695
Juilliottes,8,2,48.802500401,2.44618361523
Juilliottes,outside,2,48.802500401,2.44618361523
Daumesnil,6,1,48.8396820994,2.39558416701
Daumesnil,8,1,48.8396820994,2.39558416701
Daumesnil,outside,1,48.8396820994,2.39558416701
Alfortville,D,2,48.8026702597,2.42559814817
Alfortville,outside,2,48.8026702597,2.42559814817
PorteCharenton,T3,1,48.8326603057,2.40046363512
PorteCharenton,8,1,48.8326603057,2.40046363512
PorteCharenton,outside,1,48.8326603057,2.40046363512
StadeCharlety,T3,1,48.8196448126,2.34371961809
StadeCharlety,outside,1,48.8196448126,2.34371961809

